point_index,markov_p1,ml_mc_p1,ml_informed_markov_p1,ml_informed_markov_unsmoothed_p1,hybrid_p1,set1,set2,gm1,gm2
138,0.8821431749212365,0.6733333333333333,0.826790538389589,0.8267711462212057,0.7457207450838064,1,0,4.0,4.0
139,0.9074173103793762,0.7566666666666667,0.8658051990842592,0.8750697313822093,0.8340519971058575,1,0,4.0,4.0
140,0.8607415567435412,0.6966666666666667,0.7884253424398585,0.8053233329816629,0.761202790096904,1,0,4.0,5.0
141,0.8455089892405268,0.6033333333333334,0.7523533997029284,0.7921097970320908,0.6533829688874867,1,0,4.0,5.0
142,0.8572676665734082,0.6766666666666666,0.7741248022408865,0.801825214008608,0.7404790199670487,1,0,4.0,5.0
143,0.8355328918548875,0.6666666666666666,0.7289426464971491,0.780834046207282,0.7229554083960736,1,0,4.0,5.0
144,0.7945795157129362,0.59,0.6498480005147348,0.7054417168150235,0.6268243128283284,1,0,4.0,5.0
145,0.7385164749786001,0.5033333333333333,0.5620367713779035,0.6508007568594769,0.5049012209443018,1,1,0.0,0.0
146,0.7291200367316011,0.5566666666666666,0.5722285057636455,0.6439288699102955,0.5762113819406925,1,1,0.0,0.0
147,0.7222760147632047,0.49666666666666665,0.5848290848971033,0.6395153888240721,0.49817072898731024,1,1,0.0,0.0
148,0.7292942716433933,0.5133333333333333,0.5825774856739999,0.6447985101454392,0.5190922916882682,1,1,0.0,0.0
149,0.7450261070931593,0.5033333333333333,0.6019637344103538,0.7203531670992933,0.5049446184917321,1,1,0.0,0.0
150,0.7270447156388369,0.4766666666666667,0.6015510610048628,0.7075423619527026,0.4883509756187013,1,1,0.0,0.0
151,0.7450261070931593,0.56,0.6018354544362775,0.6651602265701572,0.5822031328511792,1,1,0.0,0.0
152,0.777882491109235,0.5766666666666667,0.6281609408917763,0.6737898916423182,0.6075197597478604,1,1,0.0,0.0
153,0.7172039967552437,0.49333333333333335,0.5575884941886164,0.672015158161274,0.4963182755122922,1,1,0.0,1.0
154,0.7252214788327724,0.49333333333333335,0.5790359855568223,0.6875742997453728,0.4964251752733259,1,1,0.0,1.0
155,0.7304962992901082,0.48,0.5966828668971885,0.7010899863675084,0.49001985197160436,1,1,0.0,1.0
156,0.7331210354456739,0.52,0.6002418001250156,0.6562566534290648,0.528524841417827,1,1,0.0,1.0
157,0.731481865963503,0.5266666666666666,0.5787122571561398,0.6558681945710063,0.5375901439624978,1,1,0.0,1.0
158,0.7260294157867418,0.5066666666666667,0.5612434690456937,0.7062722480972395,0.5095915033216011,1,1,0.0,1.0
159,0.7338256456767258,0.5566666666666666,0.5801850995544506,0.7142106655135274,0.5767446842878067,1,1,1.0,1.0
160,0.7526032872560948,0.5233333333333333,0.5820211053646461,0.6660738774913475,0.5340325978497289,1,1,1.0,1.0
161,0.7807011401059852,0.57,0.6107652653425981,0.7000026901890518,0.5994981596148379,1,1,1.0,1.0
162,0.761869036906765,0.5666666666666667,0.6042971602300831,0.6787141064356415,0.5926936493653464,1,1,1.0,1.0
163,0.7409449532605568,0.46,0.5968075094568255,0.6576098910486241,0.4824755962608445,1,1,1.0,1.0
164,0.7768785820411679,0.5866666666666667,0.6283860524660357,0.6744646223077992,0.6196367319982469,1,1,1.0,1.0
165,0.7105170953353904,0.5033333333333333,0.5472724423912863,0.6333241510627599,0.504714558413347,1,1,1.0,2.0
166,0.7193583344152468,0.5166666666666667,0.5662247863910956,0.6394869699263186,0.5234230555916194,1,1,1.0,2.0
167,0.7251751168309297,0.5133333333333333,0.5814161288219664,0.6432053133452859,0.5189824475599358,1,1,1.0,2.0
168,0.7280695317667536,0.4766666666666667,0.5948790282394798,0.6532518249454223,0.48839880037133737,1,1,1.0,2.0
